step,loss
9252,2.619
9291,2.621
9303,2.646
9305,2.609
9312,2.671
9327,2.639
9345,2.642
9359,2.670
9365,2.637
9372,2.614
9377,2.647
9387,2.672
9443,2.619
9456,2.614
9488,2.655
9490,2.650
9538,2.623
9547,2.674
9556,2.625
9566,2.690
9593,2.638
9607,2.631
9671,2.606
9672,2.636
9692,2.654
9704,2.646
9712,2.645
9736,2.654
9753,2.632
9754,2.627
9772,2.627
9813,2.635
9824,2.655
9837,2.651
9850,2.618
9867,2.626
9894,2.638
9904,2.615
9916,2.629
9917,2.639
9948,2.620
9949,2.628
9950,2.659
9960,2.629
9973,2.603
9979,2.580
9987,2.642
9993,2.662
10063,2.629
10090,2.608
10121,2.622
10126,2.599
10138,2.591
10191,2.643
10208,2.603
10215,2.625
10269,2.639
10280,2.628
10342,2.638
10345,2.612
10346,2.618
10395,2.635
10445,2.654
10451,2.626
10452,2.617
10458,2.612
10501,2.631
10518,2.584
10551,2.634
10561,2.610
10573,2.584
10596,2.605
10614,2.632
10633,2.610
10643,2.587
10645,2.613
10707,2.627
10717,2.637
10724,2.633
10729,2.605
10745,2.607
10752,2.605
10771,2.638
10842,2.652
10897,2.589
10976,2.619
11022,2.610
11023,2.633
11028,2.633
11036,2.607
11054,2.552
11094,2.598
11118,2.601
11124,2.594
11125,2.601
11159,2.603
11170,2.591
11208,2.581
11212,2.622
11218,2.586
11225,2.640
11226,2.646
11256,2.578
11330,2.615
11331,2.589
11394,2.577
11404,2.598
11409,2.645
11443,2.641
11448,2.600
11450,2.556
11461,2.561
11463,2.548
11526,2.598
11570,2.569
11578,2.589
11611,2.620
11696,2.591
11736,2.611
11756,2.614
11765,2.597
11786,2.568
11817,2.579
11819,2.600
11823,2.524
11844,2.565
11847,2.603
11851,2.598
11867,2.607
11876,2.593
11882,2.581
11919,2.573
11941,2.590
11955,2.560
11970,2.598
11972,2.596
11977,2.570
12012,2.584
12027,2.594
12057,2.580
12063,2.584
12068,2.556
12076,2.583
12135,2.580
12175,2.567
12179,2.593
12210,2.586
12235,2.556
12246,2.545
12262,2.576
12271,2.626
12302,2.564
12304,2.574
12308,2.577
12316,2.568
12345,2.548
12354,2.596
12366,2.615
12370,2.577
12394,2.571
12398,2.554
12400,2.537
12421,2.538
12422,2.589
12437,2.578
12443,2.575
12449,2.542
12476,2.601
12478,2.579
12480,2.566
12554,2.602
12601,2.561
12648,2.558
12653,2.568
12679,2.543
12708,2.575
12782,2.597
12791,2.583
12847,2.588
12858,2.586
12901,2.565
12905,2.553
12922,2.584
12944,2.550
12972,2.582
12976,2.605
12997,2.596
13010,2.568
13024,2.561
13028,2.562
13036,2.535
13037,2.531
13047,2.580
13048,2.563
13088,2.548
13092,2.572
13188,2.545
13210,2.557
13227,2.560
13234,2.578
13243,2.541
13250,2.550
13261,2.584
13304,2.549
13349,2.549
13388,2.555
13418,2.567
13455,2.582
13522,2.535
13531,2.548
13532,2.538
13550,2.530
13558,2.580
13576,2.547
13588,2.557
13623,2.570
13642,2.548
13644,2.522
13647,2.572
13660,2.559
13702,2.558
13716,2.544
13736,2.550
13759,2.569
13802,2.551
13831,2.567
13849,2.510
13890,2.549
13916,2.562
13971,2.544
13980,2.553
14006,2.570
14035,2.547
14046,2.567
14102,2.575
14113,2.528
14127,2.548
14140,2.555
14158,2.533
14177,2.585
14188,2.537
14194,2.522
14206,2.540
14217,2.544
14223,2.549
14224,2.589
14258,2.532
14265,2.546
14349,2.558
14354,2.557
14361,2.518
14367,2.518
14399,2.549
14400,2.572
14405,2.585
14419,2.555
14427,2.540
14428,2.531
14436,2.504
14494,2.570
14496,2.524
14535,2.542
14536,2.553
14548,2.579
14577,2.554
14623,2.528
14645,2.560
14745,2.519
14760,2.539
14777,2.537
14785,2.555
14819,2.527
14840,2.529
14851,2.522
14864,2.544
14868,2.564
14899,2.530
14904,2.515
14910,2.546
14921,2.508
14925,2.520
14940,2.557
14954,2.546
15019,2.540
15065,2.503
15066,2.488
15070,2.569
15098,2.529
15110,2.505
15120,2.524
15124,2.518
15138,2.517
15153,2.524
15176,2.518
15185,2.505
15199,2.526
15318,2.521
15334,2.512
15348,2.521
15362,2.532
15371,2.515
15400,2.537
15419,2.529
15435,2.544
15441,2.534
15456,2.504
15462,2.549
15490,2.533
15492,2.522
15500,2.526
15610,2.536
15633,2.516
15638,2.523
15668,2.503
15700,2.539
15712,2.507
15722,2.507
15749,2.545
15760,2.560
15783,2.536
15790,2.524
15793,2.515
15801,2.522
15806,2.549
15814,2.513
15820,2.515
15831,2.528
15873,2.521
15875,2.537
15921,2.524
15922,2.535
15962,2.499
15980,2.529
16013,2.509
16032,2.498
16042,2.520
16076,2.517
16105,2.504
16117,2.521
16125,2.497
16150,2.537
16185,2.500
16186,2.545
16236,2.513
16239,2.552
16241,2.515
16247,2.511
16313,2.511
16344,2.527
16346,2.517
16392,2.491
16411,2.534
16412,2.518
16414,2.505
16427,2.529
16484,2.502
16487,2.526
16554,2.527
16603,2.480
16605,2.508
16615,2.507
16650,2.532
16659,2.486
16731,2.536
16735,2.517
16793,2.476
16816,2.501
16834,2.522
16864,2.502
16866,2.518
16880,2.518
16883,2.481
16907,2.524
16947,2.542
16951,2.480
17002,2.552
17016,2.487
17043,2.500
17054,2.539
17057,2.509
17076,2.511
17120,2.512
17126,2.485
17127,2.491
17143,2.492
17155,2.491
17191,2.506
17207,2.520
17229,2.520
17231,2.535
17250,2.485
17263,2.508
17264,2.507
17266,2.522
